fd_id,ft_id,"fd_type","fd_name",fd_smallPrice,fd_largePrice,"fd_comments"
1322,1,"Sandwiches","Falafel",0,4,""
1323,1,"Sandwiches","Falafel with Hummus",0,4.5,""
1324,1,"Sandwiches","Falafel with Feta Cheese",0,4.5,""
1325,1,"Sandwiches","Falafel with Hummus and Feta Cheese",0,5,""
1326,1,"Sandwiches","Falafel with Baba Ganuj",0,4.5,""
1327,1,"Sandwiches","Falafel with all of the above",0,5.25,""
1328,1,"Sandwiches","Zucchine",0,4.5,""
1329,1,"Sandwiches","Salad on pita with feta Cheese",0,3.5,""
1330,1,"Sandwiches","Hummus on Pita",0,3.25,""
1331,1,"Sandwiches","Grilled Chicken Kabob",0,5.5,""
1332,1,"Sandwiches","Beef",0,5.5,""
1333,1,"Sandwiches","Lamb",0,6,""
1334,1,"Sandwiches","Chicken Tender",0,5.5,""
1335,1,"Platters","Falafel and Hummus",0,6,""
1336,1,"Platters","Falafel and Baba Ganuj",0,6.25,""
1337,1,"Platters","Falafel and Grape Leaves",0,6.75,""
1338,1,"Platters","Zucchini",0,6.25,""
1339,1,"Platters","Chicken",0,6.5,""
1340,1,"Platters","Beef",0,6.5,""
1341,1,"Platters","Lamb",0,7.5,""
1342,1,"Salads","Greek salad",0,5.5,""
1343,1,"Salads","Falafel over salad",0,6,""
1344,1,"Salads","Chicken kabob over salad",0,7,""
1345,1,"Side Orders","Falafel 2 pieces",0,1,""
1346,1,"Side Orders","Hummus with pita",0,3,""
1347,1,"Side Orders","Couscous with tomato sauce",0,4,""
1348,1,"Side Orders","Grape leaves 4",0,3,""
1349,1,"Side Orders","Cucumber salad with yogurt",0,3.5,""
1350,1,"Side Orders","Tabuleh salad",0,3.5,""
1351,1,"Side Orders","Couscous with tomato sauce or yogurt",0,4,""
1352,1,"Side Orders","Feta cheese and olives with pita",0,4,""
1353,1,"Side Orders","Zucchini balls 2 pieces",0,1.5,""
1354,1,"Extra","Falafel",0,0.5,""
1355,1,"Extra","Feta cheese",0,0.5,""
1356,1,"Extra","Baba",0,0.75,""
1357,1,"Extra","Hummus",0,0.5,""
1358,1,"Extra","Grape leaves",0,0.75,""
1359,1,"Extra","Zucchini ball",0,0.5,""
1360,1,"Extra","Cucumber salad",0,0.5,""
